Team,Ball_Park_2008,Ball_Park_2009,Ball_Park_2010,Ball_Park_2011,Ball_Park_2012,Ball_Park_2013,Ball_Park_2014,Ball_Park_2015,Ball_Park_2016,Ball_Park_2017,Ball_Park_2018,Ball_Park_2019,Ball_Park_2020,League,Division
CLE,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,Progressive Field,AL,Central
CIN,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,Great American Ball Park,NL,Central
MIL,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,Miller Park,NL,Central
KC,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,Kauffman Stadium,AL,Central
MIN,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,Target Field,AL,Central
CHC,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,Wrigley Field,NL,Central
PIT,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,PNC Park,NL,Central
STL,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,Busch Stadium,NL,Central
CWS,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,Guaranteed Rate Field,AL,Central
DET,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,Comerica Park,AL,Central
BAL,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,Oriole Park at Camden Yards,AL,East
BOS,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,Fenway Park,AL,East
PHI,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,Citizens Bank Park,NL,East
NYY,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,Yankee Stadium,AL,East
WSH,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,Nationals Park,NL,East
MIA,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,Marlins Park,NL,East
TB,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,Tropicana Field,AL,East
ATL,Turner Field,Turner Field,Turner Field,Turner Field,Turner Field,Turner Field,Turner Field,Turner Field,Turner Field,Truist Park,Truist Park,Truist Park,Truist Park,NL,East
TOR,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,Rogers Centre,AL,East
NYM,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,Citi Field,NL,East
TEX,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,Globe Life Park in Arlington,AL,West
COL,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,Coors Field,NL,West
ARI,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,Chase Field,NL,West
SD,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,Petco Park,NL,West
HOU,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,Minute Maid Park,AL,West
LAD,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,Dodger Stadium,NL,West
SEA,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,T-Mobile Park,AL,West
LAA,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,Angel Stadium,AL,West
